								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
3.342	INVOLUNTARIO	5	0,00	1	3,57	0,00		
3.343	JURISPRUDENCIA	5	0,00	3	10,71	0,43		
3.344	JUS	5	0,00	3	10,71	0,30		
3.345	LABOR	5	0,00	n/a	n/a	n/a	LABOR[3] LABORES[2]	
3.346	LEJANÍA	5	0,00	2	7,14	0,51		
3.347	LIMITEN	5	0,00	2	7,14	0,36		
3.348	LIMÍTROFE	5	0,00	n/a	n/a	n/a	LIMÍTROFE[4] LIMÍTROFES[1]	
3.349	LLEVARSE	5	0,00	3	10,71	0,36		
3.350	MAGNITUD	5	0,00	n/a	n/a	n/a	MAGNITUD[1] MAGNITUDES[4]	
3.351	MALA	5	0,00	1	3,57	0,30		
3.352	MANAR	5	0,00	n/a	n/a	n/a	MANAR[0] MANO[5]	
3.353	MANIFIESTE	5	0,00	4	14,29	0,36		
3.354	MANO	5	0,00	3	10,71	0,51		
3.355	MANTIENE	5	0,00	4	14,29	0,36		
3.356	MASIVOS	5	0,00	1	3,57	0,00		
3.357	MÉDICOS	5	0,00	3	10,71	0,43		
3.358	MERCANTIL	5	0,00	n/a	n/a	n/a	MERCANTIL[0] MERCANTILES[5]	
3.359	MERCANTILES	5	0,00	3	10,71	0,43		
3.360	METRO	5	0,00	n/a	n/a	n/a	METRO[1] METROS[4]	
3.361	MILITAR	5	0,00	n/a	n/a	n/a	MILITAR[1] MILITARES[4]	
3.362	MITAD	5	0,00	4	14,29	0,51		
3.363	MODELOS	5	0,00	4	14,29	0,36		
3.364	MÓDULOS	5	0,00	4	14,29	0,51		
3.365	MOTIVADAMENTE	5	0,00	3	10,71	0,43		
3.366	MOTIVÓ	5	0,00	4	14,29	0,43		
3.367	MUTUO	5	0,00	3	10,71	0,43		
3.368	NIÑO	5	0,00	n/a	n/a	n/a	NIÑO[0] NIÑOS[5]	
3.369	NIÑOS	5	0,00	4	14,29	0,43		
3.370	NOMBRADO	5	0,00	3	10,71	0,51		
3.371	NOTARIAL	5	0,00	2	7,14	0,36		
3.372	NOTIFIQUE	5	0,00	3	10,71	0,36		
3.373	OBLIGATORIAS	5	0,00	1	3,57	0,19		
3.374	OBSERVATORIO	5	0,00	2	7,14	0,36		
3.375	OCASIONAR	5	0,00	n/a	n/a	n/a	OCASIONAR[0] OCASIONADA[2] OCASIONADO[1] OCASIONADOS[1] OCASIONEN[1]	
3.376	OFERTANTES	5	0,00	1	3,57	0,00		
3.377	OFERTAR	5	0,00	n/a	n/a	n/a	OFERTAR[0] OFERTADO[1] OFERTADOS[4]	
3.378	OFRECE	5	0,00	5	17,86	0,60		
3.379	OPINIONES	5	0,00	2	7,14	0,19		
3.380	ORDINARIA	5	0,00	4	14,29	0,51		
3.381	ORIENTARÁN	5	0,00	3	10,71	0,43		
3.382	OSTENTA	5	0,00	3	10,71	0,51		
3.383	OTORGADO	5	0,00	3	10,71	0,60		
3.384	PACTAR	5	0,00	n/a	n/a	n/a	PACTAR[0] PACTADO[2] PACTO[3]	
3.385	PARAR	5	0,00	n/a	n/a	n/a	PARAR[1] PARO[4]	
3.386	PARTIDO	5	0,00	n/a	n/a	n/a	PARTIDO[2] PARTIDOS[3]	
3.387	PAUTA	5	0,00	n/a	n/a	n/a	PAUTA[0] PAUTAS[5]	
3.388	PAUTAS	5	0,00	3	10,71	0,51		
3.389	PEQUEÑO	5	0,00	n/a	n/a	n/a	PEQUEÑO[1] PEQUEÑAS[3] PEQUEÑOS[1]	
3.390	PERJUDICADO	5	0,00	n/a	n/a	n/a	PERJUDICADO[3] PERJUDICADAS[1] PERJUDICADOS[1]	
3.391	PERMANENTES	5	0,00	3	10,71	0,43		
3.392	PERSISTIR	5	0,00	n/a	n/a	n/a	PERSISTIR[0] PERSISTA[2] PERSISTE[1] PERSISTEN[1] PERSISTIERAN[1]	
3.393	PERTURBACIÓN	5	0,00	n/a	n/a	n/a	PERTURBACIÓN[4] PERTURBACIONES[1]	
3.394	PLANTEEN	5	0,00	3	10,71	0,43		
3.395	PONGAN	5	0,00	4	14,29	0,51		
3.396	POSEAN	5	0,00	4	14,29	0,43		
3.397	PRECISA	5	0,00	4	14,29	0,51		
3.398	PRESIDIR	5	0,00	n/a	n/a	n/a	PRESIDIR[1] PRESIDA[1] PRESIDIDA[1] PRESIDIDAS[1] PRESIDIRÁ[1]	
3.399	PRESUPONER	5	0,00	n/a	n/a	n/a	PRESUPONER[0] PRESUPUESTO[1] PRESUPUESTOS[4]	
3.400	PROBLEMA	5	0,00	n/a	n/a	n/a	PROBLEMA[2] PROBLEMAS[3]	
3.401	PRODUCE	5	0,00	3	10,71	0,51		
3.402	PROPIEDAD	5	0,00	n/a	n/a	n/a	PROPIEDAD[4] PROPIEDADES[1]	
3.403	PROPONDRÁ	5	0,00	2	7,14	0,30		
3.404	PROPORCIONADOS	5	0,00	2	7,14	0,19		
3.405	PRORROGADA	5	0,00	3	10,71	0,60		
3.406	PROVEERSE	5	0,00	4	14,29	0,43		
3.407	PROVISIÓN	5	0,00	n/a	n/a	n/a	PROVISIÓN[4] PROVISIONES[1]	
3.408	PROVISTO	5	0,00	3	10,71	0,43		
3.409	PROYECTADA	5	0,00	2	7,14	0,43		
3.410	PUBLICADO	5	0,00	2	7,14	0,43		
3.411	QUEDANDO	5	0,00	4	14,29	0,51		
3.412	QUINQUIES	5	0,00	2	7,14	0,51		
3.413	QUINTO	5	0,00	5	17,86	0,51		
3.414	REAGRUPABLES	5	0,00	2	7,14	0,36		
3.415	REAGRUPADA	5	0,00	2	7,14	0,30		
3.416	REASENTAR	5	0,00	n/a	n/a	n/a	REASENTAR[0] REASENTADAS[4] REASENTADOS[1]	
3.417	RECAÍDA	5	0,00	4	14,29	0,51		
3.418	RECAIGA	5	0,00	3	10,71	0,36		
3.419	RECEPTOR	5	0,00	n/a	n/a	n/a	RECEPTOR[1] RECEPTORA[3] RECEPTORAS[1]	
3.420	RECLAMAR	5	0,00	n/a	n/a	n/a	RECLAMAR[0] RECLAMADOS[4] RECLAMO[1]	
3.421	RECURRIBLES	5	0,00	4	14,29	0,51		
3.422	REFUGIADA	5	0,00	2	7,14	0,19		
3.423	REGISTRARÁ	5	0,00	2	7,14	0,36		
3.424	REINGRESAR	5	0,00	n/a	n/a	n/a	REINGRESAR[0] REINGRESO[5]	
3.425	REINGRESO	5	0,00	1	3,57	0,19		
3.426	REINTEGRO	5	0,00	2	7,14	0,19		
3.427	RELEVANCIA	5	0,00	2	7,14	0,51		
3.428	REPOSICIÓN	5	0,00	2	7,14	0,19		
3.429	REPRESENTACION	5	0,00	1	3,57	0,00		
3.430	REPRESENTACIONES	5	0,00	3	10,71	0,51		
3.431	REQUERIDO	5	0,00	3	10,71	0,51		
3.432	RESILIENCIA	5	0,00	1	3,57	0,00		
3.433	RESISTENCIA	5	0,00	2	7,14	0,51		
3.434	RESPECTIVA	5	0,00	3	10,71	0,43		
3.435	RETIRADO	5	0,00	n/a	n/a	n/a	RETIRADO[0] RETIRADOS[5]	
3.436	RETIRADOS	5	0,00	2	7,14	0,19		
3.437	RETORNEN	5	0,00	2	7,14	0,30		
3.438	REVISAR	5	0,00	n/a	n/a	n/a	REVISAR[4] REVISADAS[1]	
3.439	REVOCADA	5	0,00	4	14,29	0,60		
3.440	SANIDAD	5	0,00	2	7,14	0,36		
3.441	SECRETARÍAS	5	0,00	1	3,57	0,43		
3.442	SECUNDARIA	5	0,00	2	7,14	0,19		
3.443	SECUNDARIO	5	0,00	n/a	n/a	n/a	SECUNDARIO[0] SECUNDARIA[5]	
3.444	SEDECSVBROKER	5	0,00	1	3,57	0,00		
3.445	SESIÓN	5	0,00	n/a	n/a	n/a	SESIÓN[3] SESIONES[2]	
3.446	SEXUALES	5	0,00	2	7,14	0,43		
3.447	SILENCIAR	5	0,00	n/a	n/a	n/a	SILENCIAR[0] SILENCIO[5]	
3.448	SILENCIO	5	0,00	4	14,29	0,51		
3.449	SIRVIERON	5	0,00	2	7,14	0,19		
3.450	SOFIA	5	0,00	1	3,57	0,00		
3.451	SOLICITAN	5	0,00	4	14,29	0,60		
3.452	SOLICITARÁN	5	0,00	3	10,71	0,43		
3.453	SOLICITARLO	5	0,00	4	14,29	0,51		
3.454	SOLICITÓ	5	0,00	1	3,57	0,19		
3.455	SOMETIDA	5	0,00	5	17,86	0,60		
3.456	SOPORTE	5	0,00	3	10,71	0,43		
3.457	SUBSISTENCIA	5	0,00	3	10,71	0,36		
3.458	SUIZO	5	0,00	n/a	n/a	n/a	SUIZO[0] SUIZA[3] SUIZOS[2]	
3.459	SUPEDITADA	5	0,00	2	7,14	0,51		
3.460	SUPLETORIA	5	0,00	4	14,29	0,60		
3.461	SUSCRIPCIÓN	5	0,00	1	3,57	0,30		
3.462	SUSPENDIDA	5	0,00	2	7,14	0,19		
3.463	SUSPENDIDO	5	0,00	3	10,71	0,51		
3.464	TACHAR	5	0,00	n/a	n/a	n/a	TACHAR[1] TACHADO[1] TACHE[3]	
3.465	TELEMÁTICOS	5	0,00	5	17,86	0,51		
3.466	TEMPORALES	5	0,00	3	10,71	0,51		
3.467	TENENCIA	5	0,00	4	14,29	0,51		
3.468	TENOR	5	0,00	2	7,14	0,51		
3.469	TERCERAS	5	0,00	1	3,57	0,30		
3.470	TERMINACIÓN	5	0,00	3	10,71	0,51		
3.471	TERRITORIOS	5	0,00	3	10,71	0,51		
3.472	TESTIGO	5	0,00	n/a	n/a	n/a	TESTIGO[4] TESTIGOS[1]	
3.473	TESTIMONIAR	5	0,00	n/a	n/a	n/a	TESTIMONIAR[0] TESTIMONIO[5]	
3.474	TESTIMONIO	5	0,00	2	7,14	0,00		
3.475	TIE	5	0,00	1	3,57	0,00		
3.476	TRADICIONAL	5	0,00	n/a	n/a	n/a	TRADICIONAL[4] TRADICIONALES[1]	
3.477	TRADUCCIÓN	5	0,00	3	10,71	0,36		
3.478	TRANSFERENCIA	5	0,00	n/a	n/a	n/a	TRANSFERENCIA[4] TRANSFERENCIAS[1]	
3.479	TRASLADA	5	0,00	1	3,57	0,00		
3.480	TRASLADADO	5	0,00	2	7,14	0,19		
3.481	TURÍSTICO	5	0,00	2	7,14	0,30		
3.482	UBICADOS	5	0,00	3	10,71	0,36		
3.483	URBANO	5	0,00	n/a	n/a	n/a	URBANO[4] URBANOS[1]	
3.484	VALORADO	5	0,00	4	14,29	0,60		
3.485	VENDRÁN	5	0,00	3	10,71	0,51		
3.486	VIAJEN	5	0,00	2	7,14	0,30		
3.487	VICEPRESIDENTA	5	0,00	5	17,86	0,36		
3.488	VIGÉSIMO	5	0,00	1	3,57	0,00		
3.489	VINCULADA	5	0,00	2	7,14	0,43		
3.490	VISITAR	5	0,00	2	7,14	0,43		
3.491	VITAL	5	0,00	2	7,14	0,51		
3.492	VOLUNTARIOS	5	0,00	2	7,14	0,36		
3.493	XI	5	0,00	2	7,14	0,51		
3.494	XIII	5	0,00	2	7,14	0,51		
3.495	XIV	5	0,00	2	7,14	0,51		
3.496	17	4	0,00	n/a	n/a	n/a	17[0] DECIMOSÉPTIMA[4]	
3.497	18	4	0,00	n/a	n/a	n/a	18[0] DECIMOCTAVA[4]	
3.498	19	4	0,00	n/a	n/a	n/a	19[0] DECIMONOVENA[4]	
3.499	ABUELO	4	0,00	n/a	n/a	n/a	ABUELO[2] ABUELA[2]	
3.500	ACCESOS	4	0,00	2	7,14	0,42		
3.501	ACOGIDOS	4	0,00	3	10,71	0,42		
3.502	ACOMPAÑARÁN	4	0,00	3	10,71	0,42		
3.503	ACONSEJE	4	0,00	3	10,71	0,54		
3.504	ACONTECER	4	0,00	n/a	n/a	n/a	ACONTECER[0] ACONTECEN[1] ACONTECIDO[3]	
3.505	ACTUALIDAD	4	0,00	4	14,29	0,54		
3.506	ACTUALIZADA	4	0,00	3	10,71	0,54		
3.507	ACUMULADA	4	0,00	2	7,14	0,22		
3.508	ADAPTACIONES	4	0,00	4	14,29	0,54		
3.509	ADHIERE	4	0,00	2	7,14	0,42		
3.510	ADMITA	4	0,00	3	10,71	0,42		
3.511	ADMITIRÁ	4	0,00	4	14,29	0,54		
3.512	ADOPTADOS	4	0,00	3	10,71	0,42		
3.513	ADOPTASE	4	0,00	1	3,57	0,00		
3.514	ADUCIDAS	4	0,00	3	10,71	0,54		
3.515	ADUCIR	4	0,00	n/a	n/a	n/a	ADUCIR[0] ADUCIDAS[4]	
3.516	ADULTO	4	0,00	n/a	n/a	n/a	ADULTO[3] ADULTOS[1]	
3.517	AGRÍCOLA	4	0,00	1	3,57	0,00		
3.518	AISLAMIENTO	4	0,00	2	7,14	0,42		
3.519	AJUSTEN	4	0,00	3	10,71	0,54		
3.520	ALCANZADO	4	0,00	2	7,14	0,42		
3.521	ALEGADOS	4	0,00	1	3,57	0,42		
3.522	ALEGANDO	4	0,00	1	3,57	0,00		
3.523	ALTERNATIVAMENTE	4	0,00	2	7,14	0,22		
3.524	AMBULATORIO	4	0,00	n/a	n/a	n/a	AMBULATORIO[1] AMBULATORIA[3]	
3.525	AMPLIO	4	0,00	n/a	n/a	n/a	AMPLIO[3] AMPLIA[1]	
3.526	ANTIGÜEDAD	4	0,00	2	7,14	0,22		
3.527	ANUALES	4	0,00	3	10,71	0,54		
3.528	ANULADO	4	0,00	3	10,71	0,42		
3.529	APARTAMENTO	4	0,00	1	3,57	0,00		
3.530	APLIQUEN	4	0,00	3	10,71	0,54		
3.531	APORTADOS	4	0,00	2	7,14	0,54		
3.532	APORTE	4	0,00	4	14,29	0,54		
3.533	APRECIADAS	4	0,00	3	10,71	0,54		
3.534	ARA	4	0,00	n/a	n/a	n/a	ARA[0] ARAS[4]	
3.535	ARAS	4	0,00	3	10,71	0,42		
3.536	ARMAR	4	0,00	n/a	n/a	n/a	ARMAR[0] ARMADO[2] ARMADOS[2]	
3.537	ARMARIO	4	0,00	n/a	n/a	n/a	ARMARIO[3] ARMARIOS[1]	
3.538	ASEGURADO	4	0,00	2	7,14	0,42		
3.539	ASISTEN	4	0,00	2	7,14	0,42		
3.540	ASUMIDA	4	0,00	2	7,14	0,00		
3.541	AUMENTO	4	0,00	4	14,29	0,54		
3.542	AUTOMÁTICAMENTE	4	0,00	3	10,71	0,42		
3.543	AUTORES	4	0,00	2	7,14	0,22		
3.544	AVANZADA	4	0,00	4	14,29	0,54		
3.545	AVANZAR	4	0,00	n/a	n/a	n/a	AVANZAR[2] AVANZADOS[1] AVANZANDO[1]	
3.546	BACHILLERATO	4	0,00	1	3,57	0,00		
3.547	BAÑOS	4	0,00	2	7,14	0,22		
3.548	BASARÁ	4	0,00	4	14,29	0,54		
3.549	BASTAR	4	0,00	n/a	n/a	n/a	BASTAR[0] BASTA[1] BASTARÁ[3]	
3.550	BENEFICIO	4	0,00	3	10,71	0,42		
3.551	BILLETES	4	0,00	3	10,71	0,42		
3.552	BRIGADA	4	0,00	n/a	n/a	n/a	BRIGADA[2] BRIGADAS[2]	
3.553	CALEFACCIÓN	4	0,00	2	7,14	0,31		
3.554	CALENTAR	4	0,00	n/a	n/a	n/a	CALENTAR[1] CALIENTE[3]	
3.555	CANCELADO	4	0,00	2	7,14	0,22		
3.556	CANTIDADES	4	0,00	1	3,57	0,00		
3.557	CAPITAL	4	0,00	2	7,14	0,22		
3.558	CARECEN	4	0,00	4	14,29	0,54		
3.559	CARECIENDO	4	0,00	4	14,29	0,54		
3.560	CARGAS	4	0,00	4	14,29	0,54		
3.561	CARTAS	4	0,00	2	7,14	0,42		
3.562	CATEGORÍAS	4	0,00	3	10,71	0,42		
3.563	CAUSAR	4	0,00	n/a	n/a	n/a	CAUSAR[2] CAUSADOS[2]	
3.564	CELEBRADO	4	0,00	2	7,14	0,54		
3.565	CENTRALES	4	0,00	1	3,57	0,22		
3.566	CERRADO	4	0,00	1	3,57	0,22		
3.567	CERVANTES	4	0,00	2	7,14	0,31		
3.568	CIRCUITO	4	0,00	n/a	n/a	n/a	CIRCUITO[2] CIRCUITOS[2]	
3.569	CLÁUSULA	4	0,00	n/a	n/a	n/a	CLÁUSULA[0] CLÁUSULAS[4]	
3.570	CLÁUSULAS	4	0,00	3	10,71	0,54		
3.571	CLAUSURA	4	0,00	2	7,14	0,22		
3.572	COHERENCIA	4	0,00	3	10,71	0,42		
3.573	COINCIDA	4	0,00	2	7,14	0,54		
3.574	COLABORADORA	4	0,00	4	14,29	0,54		
3.575	COLABORADORAS	4	0,00	2	7,14	0,42		
3.576	COLABORADORES	4	0,00	1	3,57	0,00		
3.577	COLEGIACIÓN	4	0,00	3	10,71	0,54		
3.578	COLOCADO	4	0,00	3	10,71	0,42		
3.579	COLOCAR	4	0,00	n/a	n/a	n/a	COLOCAR[0] COLOCADO[4]	
3.580	COMERCIAL	4	0,00	n/a	n/a	n/a	COMERCIAL[1] COMERCIALES[3]	
3.581	COMPATIBLES	4	0,00	4	14,29	0,54		
3.582	COMPETITIVIDAD	4	0,00	2	7,14	0,22		
3.583	COMPLEMENTARIA	4	0,00	3	10,71	0,42		
3.584	COMPLEMENTOS	4	0,00	1	3,57	0,00		
3.585	COMPRENDAN	4	0,00	2	7,14	0,22		
3.586	COMPRENSIBLE	4	0,00	2	7,14	0,42		
3.587	COMPUTARÁN	4	0,00	2	7,14	0,54		
3.588	COMUNICADAS	4	0,00	3	10,71	0,42		
3.589	CONCEDERÁN	4	0,00	3	10,71	0,42		
3.590	CONCLUIDA	4	0,00	4	14,29	0,54		
3.591	CONFERIR	4	0,00	n/a	n/a	n/a	CONFERIR[0] CONFERIDA[2] CONFERIDAS[1] CONFIERE[1]	
3.592	CONFESIÓN	4	0,00	n/a	n/a	n/a	CONFESIÓN[2] CONFESIONES[2]	
3.593	CONFIDENCIALIDAD	4	0,00	2	7,14	0,22		
3.594	CONFIRMAR	4	0,00	n/a	n/a	n/a	CONFIRMAR[2] CONFIRME[2]	
3.595	CONOCIDO	4	0,00	3	10,71	0,54		
3.596	CONSEJERÍA	4	0,00	n/a	n/a	n/a	CONSEJERÍA[3] CONSEJERÍAS[1]	
3.597	CONSENTIDO	4	0,00	n/a	n/a	n/a	CONSENTIDO[3] CONSENTIDA[1]	
3.598	CONSIDERADAS	4	0,00	2	7,14	0,22		
3.599	CONSONANCIA	4	0,00	2	7,14	0,42		
3.600	CONSTITUIDO	4	0,00	4	14,29	0,54		
3.601	CONSULTAR	4	0,00	n/a	n/a	n/a	CONSULTAR[0] CONSULTADA[1] CONSULTADO[2] CONSULTE[1]	
3.602	CONSUMAR	4	0,00	n/a	n/a	n/a	CONSUMAR[0] CONSUMO[4]	
3.603	CONSUMO	4	0,00	3	10,71	0,42		
3.604	CONTEMPLADA	4	0,00	4	14,29	0,54		
3.605	CONTEMPLARÁ	4	0,00	3	10,71	0,42		
3.606	CONTENGA	4	0,00	3	10,71	0,54		
3.607	CONTENGAN	4	0,00	4	14,29	0,54		
3.608	CONTINUÁNDOSE	4	0,00	2	7,14	0,31		
3.609	CONTINUARÁ	4	0,00	3	10,71	0,42		
3.610	CONTINUO	4	0,00	n/a	n/a	n/a	CONTINUO[0] CONTINUA[2] CONTINUOS[2]	
3.611	CONTRARIOS	4	0,00	3	10,71	0,42		
3.612	CONTRATADA	4	0,00	1	3,57	0,00		
3.613	CONTROLES	4	0,00	4	14,29	0,54		
3.614	CONVENIENCIA	4	0,00	3	10,71	0,42		
3.615	CONVENIR	4	0,00	n/a	n/a	n/a	CONVENIR[1] CONVENIDO[1] CONVIENE[2]	
3.616	CONVICCIÓN	4	0,00	n/a	n/a	n/a	CONVICCIÓN[0] CONVICCIONES[4]	
3.617	CONVICCIONES	4	0,00	3	10,71	0,42		
3.618	CONVIVA	4	0,00	2	7,14	0,42		
3.619	CÓNYUGES	4	0,00	3	10,71	0,54		
3.620	COORDINADA	4	0,00	2	7,14	0,42		
3.621	CORRER	4	0,00	n/a	n/a	n/a	CORRER[0] CORRA[2] CORRERÁ[1] CORRERÁN[1]	
3.622	CREADA	4	0,00	4	14,29	0,54		
3.623	CUARTOS	4	0,00	1	3,57	0,00		
3.624	CUBIERTAS	4	0,00	3	10,71	0,54		
3.625	CULPABILIDAD	4	0,00	2	7,14	0,22		
3.626	CULPABLE	4	0,00	n/a	n/a	n/a	CULPABLE[2] CULPABLES[2]	
3.627	CUMPLIENDO	4	0,00	4	14,29	0,54		
3.628	DECIMOCTAVA	4	0,00	3	10,71	0,42		
3.629	DECIMONOVENA	4	0,00	2	7,14	0,42		
3.630	DECIMOSÉPTIMA	4	0,00	3	10,71	0,42		
3.631	DECLARAN	4	0,00	1	3,57	0,22		
3.632	DECLARARÁ	4	0,00	3	10,71	0,22		
3.633	DECLARE	4	0,00	3	10,71	0,42		
3.634	DECOMISADOS	4	0,00	2	7,14	0,42		
3.635	DEFECTOS	4	0,00	2	7,14	0,42		
3.636	DEFINEN	4	0,00	4	14,29	0,54		
3.637	DEJADO	4	0,00	4	14,29	0,54		
3.638	DELEGADAS	4	0,00	1	3,57	0,00		
3.639	DELINCUENCIA	4	0,00	1	3,57	0,00		
3.640	DEMOCRÁTICA	4	0,00	2	7,14	0,31		
3.641	DEMUESTRE	4	0,00	4	14,29	0,54		
3.642	DENEGANDO	4	0,00	1	3,57	0,31		
3.643	DENEGATORIAS	4	0,00	2	7,14	0,42		
3.644	DERIVARSE	4	0,00	3	10,71	0,54		
3.645	DESAMPARAR	4	0,00	n/a	n/a	n/a	DESAMPARAR[0] DESAMPARO[4]	
3.646	DESAMPARO	4	0,00	4	14,29	0,42		
3.647	DESARROLLARSE	4	0,00	1	3,57	0,00		
3.648	DESINFECCIÓN	4	0,00	1	3,57	0,00		
3.649	DESPLACER	4	0,00	n/a	n/a	n/a	DESPLACER[0] DESPLACE[2] DESPLACEN[2]	
3.650	DESPLAZARSE	4	0,00	3	10,71	0,42		
3.651	DETECTADAS	4	0,00	4	14,29	0,54		
3.652	DETENER	4	0,00	n/a	n/a	n/a	DETENER[0] DETENIDO[3] DETENIDOS[1]	
3.653	DETERIORAR	4	0,00	n/a	n/a	n/a	DETERIORAR[0] DETERIORADA[1] DETERIORADOS[1] DETERIORO[2]	
3.654	DEVOLUCIONES	4	0,00	1	3,57	0,42		
3.655	DIARIAMENTE	4	0,00	4	14,29	0,54		
3.656	DICTÓ	4	0,00	3	10,71	0,54		
3.657	DIGITALIZADA	4	0,00	2	7,14	0,31		
3.658	DIGNAR	4	0,00	n/a	n/a	n/a	DIGNAR[0] DIGNAS[4]	
3.659	DIGNAS	4	0,00	3	10,71	0,42		
3.660	DILACIÓN	4	0,00	n/a	n/a	n/a	DILACIÓN[3] DILACIONES[1]	
3.661	DISEÑAR	4	0,00	n/a	n/a	n/a	DISEÑAR[1] DISEÑADO[1] DISEÑO[2]	
3.662	DISOLUCIÓN	4	0,00	2	7,14	0,22		
3.663	DISTURBIO	4	0,00	n/a	n/a	n/a	DISTURBIO[1] DISTURBIOS[3]	
3.664	DOLOSA	4	0,00	3	10,71	0,42		
3.665	DUDAS	4	0,00	3	10,71	0,42		
3.666	ECONÓMICAMENTE	4	0,00	2	7,14	0,22		
3.667	EDIFICACIÓN	4	0,00	n/a	n/a	n/a	EDIFICACIÓN[2] EDIFICACIONES[2]	
3.668	EDUCATIVOS	4	0,00	4	14,29	0,54		
3.669	EJERZAN	4	0,00	3	10,71	0,42		
3.670	ELÉCTRICA	4	0,00	1	3,57	0,00		
3.671	EMANCIPADO	4	0,00	4	14,29	0,00		
3.672	ENCAMINAR	4	0,00	n/a	n/a	n/a	ENCAMINAR[0] ENCAMINADAS[3] ENCAMINADOS[1]	
3.673	ENCONTRASEN	4	0,00	2	7,14	0,31		
3.674	ENLACE	4	0,00	n/a	n/a	n/a	ENLACE[1] ENLACES[3]	
3.675	ENTREGADO	4	0,00	3	10,71	0,42		
3.676	ENTREGAS	4	0,00	2	7,14	0,42		
3.677	ENTREVISTARSE	4	0,00	3	10,71	0,42		
3.678	ENUMERADOS	4	0,00	2	7,14	0,22		
3.679	EPÍGRAFE	4	0,00	2	7,14	0,31		
3.680	EQUIPOS	4	0,00	3	10,71	0,54		
3.681	ESCALAS	4	0,00	1	3,57	0,00		
3.682	ESCOLAR	4	0,00	n/a	n/a	n/a	ESCOLAR[3] ESCOLARES[1]	
3.683	ESCRITOS	4	0,00	3	10,71	0,42		
3.684	ESPECIALIDAD	4	0,00	n/a	n/a	n/a	ESPECIALIDAD[0] ESPECIALIDADES[4]	
3.685	ESPECIALIDADES	4	0,00	3	10,71	0,54		
3.686	ESPECIALISTA	4	0,00	n/a	n/a	n/a	ESPECIALISTA[2] ESPECIALISTAS[2]	
3.687	ESPECIALIZACIÓN	4	0,00	1	3,57	0,31		
3.688	ESPECIALIZADOS	4	0,00	3	10,71	0,42		
3.689	ESPECIFICIDAD	4	0,00	n/a	n/a	n/a	ESPECIFICIDAD[0] ESPECIFICIDADES[4]	
3.690	ESPECIFICIDADES	4	0,00	2	7,14	0,42		
3.691	ESPERAR	4	0,00	n/a	n/a	n/a	ESPERAR[2] ESPERADA[1] ESPERADO[1]	
3.692	ESTADÍSTICO	4	0,00	n/a	n/a	n/a	ESTADÍSTICO[0] ESTADÍSTICOS[4]	
3.693	ESTADÍSTICOS	4	0,00	3	10,71	0,54		
3.694	ESTÁNDAR	4	0,00	n/a	n/a	n/a	ESTÁNDAR[1] ESTÁNDARES[3]	
3.695	ESTIMADA	4	0,00	2	7,14	0,42		
3.696	EVENTUALES	4	0,00	2	7,14	0,22		
3.697	EXCEDERÁ	4	0,00	2	7,14	0,54		
3.698	EXCLUIDAS	4	0,00	2	7,14	0,22		
3.699	EXCLUSIVOS	4	0,00	2	7,14	0,22		
3.700	EXHIBIR	4	0,00	n/a	n/a	n/a	EXHIBIR[2] EXHIBIDOS[1] EXHIBIRÁ[1]	
3.701	EXIGENCIAS	4	0,00	3	10,71	0,54		
3.702	EXIGIDO	4	0,00	2	7,14	0,22		
3.703	EXPEDIDAS	4	0,00	3	10,71	0,42		
3.704	EXPERIMENTAR	4	0,00	n/a	n/a	n/a	EXPERIMENTAR[0] EXPERIMENTADO[1] EXPERIMENTADOS[1] EXPERIMENTARÁN[1] EXPERIMENTE[1]	
3.705	EXTENDIDO	4	0,00	2	7,14	0,42		
3.706	EXTRACTAR	4	0,00	n/a	n/a	n/a	EXTRACTAR[0] EXTRACTO[4]	
3.707	EXTRACTO	4	0,00	3	10,71	0,54		
3.708	EXTRADICIÓN	4	0,00	3	10,71	0,42		
3.709	FACILIDAD	4	0,00	n/a	n/a	n/a	FACILIDAD[0] FACILIDADES[4]	
3.710	FACILIDADES	4	0,00	3	10,71	0,42		
3.711	FACILITACIÓN	4	0,00	4	14,29	0,54		
3.712	FACILITÁNDOLES	4	0,00	4	14,29	0,54		
3.713	FALTAR	4	0,00	n/a	n/a	n/a	FALTAR[2] FALTE[2]	
3.714	FAVOREZCA	4	0,00	3	10,71	0,54		
3.715	FEHACIENTEMENTE	4	0,00	4	14,29	0,54		
3.716	FIJA	4	0,00	3	10,71	0,42		
3.717	FIJADA	4	0,00	3	10,71	0,42		
3.718	FIJADAS	4	0,00	3	10,71	0,54		
3.719	FILIPINAS	4	0,00	3	10,71	0,22		
3.720	FINANCIADO	4	0,00	3	10,71	0,54		
3.721	FINANCIADOS	4	0,00	3	10,71	0,42		
3.722	FIRMANTES	4	0,00	2	7,14	0,42		
3.723	FÍSICO	4	0,00	3	10,71	0,54		
3.724	FORMAL	4	0,00	n/a	n/a	n/a	FORMAL[3] FORMALES[1]	
3.725	FORMALICE	4	0,00	3	10,71	0,42		
3.726	FUENTES	4	0,00	3	10,71	0,42		
3.727	FUNDAMENTALMENTE	4	0,00	4	14,29	0,54		
3.728	GARANTIZADOS	4	0,00	3	10,71	0,42		
3.729	GARANTIZARSE	4	0,00	3	10,71	0,42		
